Series_reference,Period,Type,Data_value,Lower_CI,Upper_CI,Units,Indicator,Cause,Validation,Population,Age,Severity
M_S12,2006-08,Moving average,15.48916075,13.71089681,17.26742469,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2007-09,Moving average,13.98864282,12.30709304,15.6701926,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2008-10,Moving average,13.98215019,12.31210036,15.65220003,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2009-11,Moving average,15.16337732,13.43083788,16.89591676,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2010-12,Moving average,16.89188271,15.06736737,18.71639805,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2011-13,Moving average,16.96064228,15.13459998,18.78668458,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2012-14,Moving average,15.83983185,14.07349028,17.60617342,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_F01C,2000-02,Moving average,28.66666667,22.60801391,34.72531942,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2001-03,Moving average,28,22.01221112,33.98778888,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2002-04,Moving average,32.33333333,25.89886447,38.76780219,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2003-05,Moving average,37.33333333,30.41923029,44.24743638,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2004-06,Moving average,47.33333333,39.5481112,55.11855546,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2005-07,Moving average,49.33333333,41.38533634,57.28133032,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2006-08,Moving average,51,42.91886147,59.08113853,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2007-09,Moving average,49.33333333,41.38533634,57.28133032,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2008-10,Moving average,49,41.07889986,56.92110014,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2009-11,Moving average,53.33333333,45.06939957,61.5972671,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2010-12,Moving average,61,52.16203289,69.83796711,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2011-13,Moving average,77.33333333,67.38223933,87.28442733,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2012-14,Moving average,84,73.62884544,94.37115456,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2013-15,Moving average,84.66666667,74.25443806,95.07889527,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2014-16,Moving average,89.66666667,78.95140018,100.3819332,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2000-02,Moving average,530.2205625,418.1296973,642.3114276,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2001-03,Moving average,490.4342601,385.5468378,595.3216824,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2002-04,Moving average,537.9922352,430.9295253,645.054945,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2003-05,Moving average,586.2932366,477.7069547,694.8795185,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2004-06,Moving average,700.2541255,585.0156138,815.4926372,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2005-07,Moving average,685.804175,575.2001055,796.4082446,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2006-08,Moving average,671.1116368,564.5805514,777.6427223,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2007-09,Moving average,604.7084507,507.0727881,702.3441134,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2008-10,Moving average,554.438128,464.6492779,644.226978,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2009-11,Moving average,569.0342127,480.6761618,657.3922637,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2010-12,Moving average,604.9315937,517.0733358,692.7898515,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2011-13,Moving average,719.9621999,627.0604189,812.8639809,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2012-14,Moving average,731.7703099,641.1064719,822.434148,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2013-15,Moving average,688.2519997,603.3378821,773.1661172,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2014-16,Moving average,684.1567897,602.2261328,766.0874465,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F21C,2000-02,Moving average,31,24.69959728,37.30040272,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2001-03,Moving average,31.66666667,25.29887804,38.03445529,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2002-04,Moving average,38,31.02443706,44.97556294,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2003-05,Moving average,43,35.57969611,50.42030389,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2004-06,Moving average,54.66666667,46.3000714,63.03326193,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2005-07,Moving average,56.33333333,47.84015607,64.8265106,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2006-08,Moving average,59.33333333,50.61693965,68.04972702,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2007-09,Moving average,57.66666667,49.07356623,66.2597671,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2008-10,Moving average,60,51.23477459,68.76522541,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2009-11,Moving average,64,54.94731413,73.05268587,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2010-12,Moving average,71.66666667,62.08709554,81.24623779,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2011-13,Moving average,87.33333333,76.7584038,97.90826286,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2012-14,Moving average,98,86.79787276,109.2021272,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F22C,2000-02,Moving average,573.1444061,456.6278746,689.6609375,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2001-03,Moving average,554.4497616,442.9475857,665.9519375,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2002-04,Moving average,632.2795341,516.2135949,748.3454733,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2003-05,Moving average,675.6717749,559.068521,792.2750288,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2004-06,Moving average,810.9016661,686.7232085,935.0801236,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2005-07,Moving average,784.9073366,666.446183,903.3684902,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2006-08,Moving average,783.2124523,667.9527405,898.4721641,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2007-09,Moving average,707.0483758,601.4642536,812.632498,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2008-10,Moving average,679.0056745,579.6333235,778.3780255,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2009-11,Moving average,680.9419527,584.4118468,777.4720586,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2010-12,Moving average,710.2348512,615.0723287,805.3973737,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2011-13,Moving average,814.6427294,715.7335589,913.5518999,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2012-14,Moving average,853.6223932,755.7142302,951.5305562,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_W01,2002-04,Moving average,58,49.3820998,66.6179002,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2003-05,Moving average,58,49.3820998,66.6179002,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2004-06,Moving average,61.33333333,52.47125167,70.195415,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2005-07,Moving average,71,61.46508912,80.53491088,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2006-08,Moving average,72.66666667,63.02049285,82.31284048,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2007-09,Moving average,67.33333333,58.04789263,76.61877404,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2008-10,Moving average,62.66666667,53.70877593,71.6245574,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2009-11,Moving average,57.66666667,49.07356623,66.2597671,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2010-12,Moving average,63,54.01831668,71.98168332,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2011-13,Moving average,60.66666667,51.85288008,69.48045325,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2012-14,Moving average,60,51.23477459,68.76522541,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2013-15,Moving average,57.66666667,49.07356623,66.2597671,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2014-16,Moving average,56.66666667,48.14839872,65.18493461,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2002-04,Moving average,29,24.6910499,33.3089501,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2003-05,Moving average,28.11843701,23.93199733,32.30487669,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2004-06,Moving average,28.04931531,23.9420115,32.15661912,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2005-07,Moving average,31.61007248,27.30169317,35.91845178,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2006-08,Moving average,31.12194345,26.95942783,35.28445907,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2007-09,Moving average,28.33769023,24.39666403,32.27871643,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2008-10,Moving average,27.25284321,23.26850565,31.23718076,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2009-11,Moving average,25.02605918,21.16751091,28.88460746,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2010-12,Moving average,26.52375608,22.58943984,30.45807232,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2011-13,Moving average,25.37095443,21.49723436,29.2446745,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2012-14,Moving average,24.5756681,20.76736928,28.38396693,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2013-15,Moving average,22.98606794,19.3355774,26.63655848,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
M_W02,2014-16,Moving average,22.48543103,18.93410087,26.03676119,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Maori,All ages,Serious non-fatal
C_M11,2000-02,Moving average,32.33333333,25.89886447,38.76780219,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2001-03,Moving average,29.33333333,23.20463603,35.46203064,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2002-04,Moving average,25.66666667,19.93379528,31.39953805,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2003-05,Moving average,24.66666667,19.0465841,30.28674924,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2004-06,Moving average,23.66666667,18.16168331,29.17165003,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2005-07,Moving average,27.66666667,21.7146261,33.61870723,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2006-08,Moving average,25,19.34207133,30.65792867,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2007-09,Moving average,24.33333333,18.75135346,29.91531321,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2008-10,Moving average,19.33333333,14.35778633,24.30888033,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
C_M11,2009-11,Moving average,15.66666667,11.1877213,20.14561204,Injuries,Number,Motor vehicle traffic crashes,Validated,Children,0-14 years,Fatal
